action,type,guard,break_glass,registry_line,domain,current_owner,direct_branch_line,target_owner
a:adm_gift,admin,require_redis,False,22,admin,src/bot/bot.js,31132,src/bot/domains/admin/callbacks.js
a:adm_gift_batch,admin,require_redis,False,23,admin,src/bot/bot.js,31428,src/bot/domains/admin/callbacks.js
a:adm_gift_do,admin,require_redis,False,24,admin,src/bot/bot.js,31225,src/bot/domains/admin/callbacks.js
a:adm_gift_input,admin,require_redis,False,25,admin,src/bot/bot.js,31208,src/bot/domains/admin/callbacks.js
a:adm_gift_revoke,admin,require_redis,False,26,admin,src/bot/bot.js,31155,src/bot/domains/admin/callbacks.js
a:adm_gift_revoke_batch,admin,require_redis,False,27,admin,src/bot/bot.js,31383,src/bot/domains/admin/callbacks.js
a:adm_gift_revoke_do,admin,require_redis,False,28,admin,src/bot/bot.js,31331,src/bot/domains/admin/callbacks.js
a:adm_gift_revoke_input,admin,require_redis,False,29,admin,src/bot/bot.js,31182,src/bot/domains/admin/callbacks.js
a:adm_support_qr,admin,none,False,30,admin,src/bot/bot.js,32214,src/bot/domains/admin/callbacks.js
a:adm_support_reply,admin,require_redis,False,31,admin,src/bot/bot.js,32148,src/bot/domains/admin/callbacks.js
a:adm_support_reply_cancel,admin,none,False,32,admin,src/bot/bot.js,32107,src/bot/domains/admin/callbacks.js
a:adm_umsg,admin,none,False,33,admin,src/bot/bot.js,31803,src/bot/domains/admin/callbacks.js
a:adm_umsg_free,admin,none,False,34,admin,src/bot/bot.js,32000,src/bot/domains/admin/callbacks.js
a:adm_umsg_send,admin,none,False,35,admin,src/bot/bot.js,32044,src/bot/domains/admin/callbacks.js
a:adm_ph,admin,none,False,36,admin,src/bot/bot.js,31767,src/bot/domains/admin/callbacks.js
a:adm_unote,admin,require_redis,False,37,admin,src/bot/bot.js,31670,src/bot/domains/admin/callbacks.js
a:adm_unote_edit,admin,require_redis,False,38,admin,src/bot/bot.js,31681,src/bot/domains/admin/callbacks.js
a:adm_unote_clear_q,admin,require_redis,False,39,admin,src/bot/bot.js,31712,src/bot/domains/admin/callbacks.js
a:adm_unote_clear,admin,require_redis,False,40,admin,src/bot/bot.js,31733,src/bot/domains/admin/callbacks.js
a:adm_unote_tag,admin,require_redis,False,41,admin,src/bot/bot.js,31748,src/bot/domains/admin/callbacks.js
a:adm_umsg_tpl,admin,none,False,42,admin,src/bot/bot.js,31869,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpls,admin,require_redis,False,43,admin,src/bot/bot.js,32500,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_view,admin,require_redis,False,44,admin,src/bot/bot.js,32507,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_add,admin,require_redis,False,45,admin,src/bot/bot.js,32514,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_edit,admin,require_redis,False,46,admin,src/bot/bot.js,32523,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_del_q,admin,require_redis,False,47,admin,src/bot/bot.js,32533,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_del,admin,require_redis,False,48,admin,src/bot/bot.js,32543,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_reset_q,admin,require_redis,False,49,admin,src/bot/bot.js,32555,src/bot/domains/admin/callbacks.js
a:admin_umsg_tpl_reset,admin,require_redis,False,50,admin,src/bot/bot.js,32564,src/bot/domains/admin/callbacks.js
a:adm_uban_do,admin,require_redis,False,51,admin,src/bot/bot.js,31643,src/bot/domains/admin/callbacks.js
a:adm_uban_q,admin,none,False,52,admin,src/bot/bot.js,31627,src/bot/domains/admin/callbacks.js
a:adm_ucard,admin,none,False,53,admin,src/bot/bot.js,31656,src/bot/domains/admin/callbacks.js
a:adm_ucopy,admin,require_redis,False,54,admin,src/bot/bot.js,31526,src/bot/domains/admin/callbacks.js
a:adm_ucsv,admin,require_redis,False,55,admin,src/bot/bot.js,31535,src/bot/domains/admin/callbacks.js
a:adm_ugift,admin,require_redis,False,56,admin,src/bot/bot.js,31545,src/bot/domains/admin/callbacks.js
a:adm_ugift_do,admin,require_redis,False,57,admin,src/bot/bot.js,31568,src/bot/domains/admin/callbacks.js
a:adm_urevoke_do,admin,require_redis,False,58,admin,src/bot/bot.js,31610,src/bot/domains/admin/callbacks.js
a:adm_urevoke_q,admin,none,False,59,admin,src/bot/bot.js,31593,src/bot/domains/admin/callbacks.js
a:admin,admin,require_redis,False,60,admin,src/bot/bot.js,30681,src/bot/domains/admin/callbacks.js
a:admin_founder,admin,require_redis,False,61,admin,src/bot/bot.js,33356,src/bot/domains/admin/callbacks.js
a:admin_founder_links,admin,require_redis,False,62,admin,src/bot/bot.js,33446,src/bot/domains/admin/callbacks.js
a:admin_founder_reset,admin,require_redis,False,63,admin,src/bot/bot.js,33378,src/bot/domains/admin/callbacks.js
a:admin_founder_set_credits,admin,require_redis,False,64,admin,src/bot/bot.js,33426,src/bot/domains/admin/callbacks.js
a:admin_founder_set_deadline,admin,require_redis,False,65,admin,src/bot/bot.js,33387,src/bot/domains/admin/callbacks.js
a:admin_founder_set_prices,admin,require_redis,False,66,admin,src/bot/bot.js,33406,src/bot/domains/admin/callbacks.js
a:admin_founder_texts,admin,require_redis,False,67,admin,src/bot/bot.js,33454,src/bot/domains/admin/callbacks.js
a:admin_founder_toggle,admin,require_redis,False,68,admin,src/bot/bot.js,33365,src/bot/domains/admin/callbacks.js
a:admin_home,admin,none,False,69,admin,src/bot/bot.js,30686,src/bot/domains/admin/callbacks.js
a:admin_ops,admin,none,False,70,admin,src/bot/bot.js,30698,src/bot/domains/admin/callbacks.js
a:admin_ops_flush,admin,none,False,71,admin,src/bot/bot.js,30708,src/bot/domains/admin/callbacks.js
a:admin_ops_pending_clear,admin,none,False,72,admin,src/bot/bot.js,30750,src/bot/domains/admin/callbacks.js
a:admin_ops_pending_clear_do,admin,none,False,73,admin,src/bot/bot.js,30778,src/bot/domains/admin/callbacks.js
a:admin_comms,admin,require_redis,False,74,admin,src/bot/bot.js,30790,src/bot/domains/admin/callbacks.js
a:admin_support,admin,none,False,75,admin,src/bot/bot.js,30800,src/bot/domains/admin/callbacks.js
a:admin_support_list,admin,none,False,76,admin,src/bot/bot.js,30809,src/bot/domains/admin/callbacks.js
a:admin_support_view,admin,none,False,77,admin,src/bot/bot.js,30818,src/bot/domains/admin/callbacks.js
a:admin_support_set,admin,none,False,78,admin,src/bot/bot.js,30826,src/bot/domains/admin/callbacks.js
a:admin_invites,admin,none,False,79,admin,src/bot/bot.js,30855,src/bot/domains/admin/callbacks.js
a:admin_invites_list,admin,none,False,80,admin,src/bot/bot.js,30863,src/bot/domains/admin/callbacks.js
a:admin_sys,admin,require_redis,False,81,admin,src/bot/bot.js,30872,src/bot/domains/admin/callbacks.js
a:admin_web_login_toggle,admin,require_redis,False,82,admin,src/bot/bot.js,33154,src/bot/domains/admin/callbacks.js
a:aw_auth_dec,admin,require_redis,False,83,admin_auth,src/bot/adminWebAuthCallback.js,,src/bot/domains/adminAuth/callbacks.js
a:hs_home,admin,none,False,85,admin_broadcast,src/bot/bot.js,30883,src/bot/domains/adminBroadcast/callbacks.js
a:hs_hits,admin,none,False,86,admin_broadcast,src/bot/bot.js,30892,src/bot/domains/adminBroadcast/callbacks.js
a:hs_hits_export,admin,none,False,87,admin_broadcast,src/bot/bot.js,30930,src/bot/domains/adminBroadcast/callbacks.js
a:hs_find,admin,none,False,88,admin_broadcast,src/bot/bot.js,30901,src/bot/domains/adminBroadcast/callbacks.js
a:hs_view,admin,none,False,89,admin_broadcast,src/bot/bot.js,30913,src/bot/domains/adminBroadcast/callbacks.js
a:hs_unskip,admin,none,False,90,admin_broadcast,src/bot/bot.js,30920,src/bot/domains/adminBroadcast/callbacks.js
a:admin_notice,admin,require_redis,False,91,admin,src/bot/bot.js,30980,src/bot/domains/admin/callbacks.js
